rank,category,product_link,name,avg_rating,review link,rating_count,prime,Images
66,toys,/L-L-Surprise-Surprises-Removable/dp/B081S3FLB3/,            L.O.L. Surprise! Lils Winter Disco Series with 5 Surprises (2-Pack) & Fluffy Pets Winter Disco Series with Removable Fur        ,not found,not found,not found,prime,7
67,toys,/WowWee-Pixie-Belles-Interactive-Enchanted/dp/B07NJQ62TH/,            WowWee Pixie Belles - Interactive Enchanted Animal Toy        ,4.7 out of 5 stars,/product-reviews/B07NJQ62TH/,16,prime,6
68,toys,/Frozen-Disney-Large-Plush-Olaf/dp/B07P6ZRQQG/,            Disney Frozen 2 Large Plush Olaf        ,5.0 out of 5 stars,/product-reviews/B07P6ZRQQG/,4,prime,4
69,toys,/Suibety-Shooting-Digital-N-Strike-Electric/dp/B07ZFKPWCQ/,            Suibety Shooting Digital Target for Nerf Guns Blaster N-Strike Elite Mega Rival Kids Electric Scoring Auto Reset Targets Toys for Boys and Girls        ,5.0 out of 5 stars,/product-reviews/B07ZFKPWCQ/,10,no prime,7
70,toys,/Frozen-Disney-Elsa-Deluxe-Styling/dp/B07P62BBGY/,            Disney Frozen Elsa Deluxe Styling Head        ,5.0 out of 5 stars,/product-reviews/B07P62BBGY/,4,prime,7
71,toys,/Cards-Against-Humanity-Ass-Pack/dp/B07XZYW9J7/,            Cards Against Humanity: Ass Pack        ,4.2 out of 5 stars,/product-reviews/B07XZYW9J7/,10,prime,1
72,toys,/Funko-Pop-Pokemon-Pikachu-Waving/dp/B07XYKSNXL/,            Funko Pop! Pokemon - Pikachu (Waving)        ,3.8 out of 5 stars,/product-reviews/B07XYKSNXL/,14,prime,1
73,toys,/Cards-Against-Humanity-Hidden-Exclusive/dp/B07XZY874L/,            Cards Against Humanity: Hidden Gems Bundle - Amazon Exclusive        ,4.0 out of 5 stars,/product-reviews/B07XZY874L/,7,prime,2
74,toys,/LEGO-Disney-Frozen-41169-Building/dp/B07PZF1GQP/,"            LEGO Disney Frozen II Olaf 41169 Olaf Snowman Toy Figure Building Kit Christmas Gift, New 2019 (122 Pieces)        ",4.9 out of 5 stars,/product-reviews/B07PZF1GQP/,28,prime,7
75,toys,/Hoovy-Bathtub-Toddlers-Grabber-Included/dp/B07XLPN6CT/,            Hoovy Bath Toys Fun Baby Bathtub Toy Shark Bath Toy for Toddlers Boys & Girls Shark Grabber with 4 Toy Fish Included (Shark Grabber)        ,4.7 out of 5 stars,/product-reviews/B07XLPN6CT/,114,prime,7
76,toys,/Disney-Frozen-Character-Multipack-SLED/dp/B07MM2DN3T/,"            Disney Frozen Sledding Adventures Doll Pack, Includes Elsa, Anna, Kristoff, Olaf, and Sven Fashion Dolls with Sled Toy Inspired by the Disney Frozen 2 Movie        ",5.0 out of 5 stars,/product-reviews/B07MM2DN3T/,3,prime,7
77,toys,/Elf-Shelf-Claus-Couture-Gingerbread/dp/B07P83ZD45/,            The Elf on the Shelf Claus Couture Jolly Gingerbread Set        ,3.5 out of 5 stars,/product-reviews/B07P83ZD45/,3,prime,4
78,toys,/ORIENTAL-CHERRY-Advent-Calendar-2019/dp/B07XNPGGMC/,            ORIENTAL CHERRY Advent Calendar 2019 - DIY Fluffy Slime Kit - Countdown to for Kids Girls Teens 4 5 6 7 8 9 Year Old        ,4.2 out of 5 stars,/product-reviews/B07XNPGGMC/,25,prime,4
79,toys,/Hasbro-Gaming-Trouble-OLAFS-Adventure/dp/B07MMP11S4/,            Trouble Game Olaf's Ice Adventure        ,2.8 out of 5 stars,/product-reviews/B07MMP11S4/,5,prime,7
80,toys,/Toy-Story-Forky-Large-Plush/dp/B07QZ4264S/,            Toy Story 4 Forky Large Plush (Amazon Exclusive)        ,5.0 out of 5 stars,/product-reviews/B07QZ4264S/,5,prime,3
81,toys,/Frozen-2-Elsa-Travel-Doll/dp/B07KWXVMJB/,"            Disney Frozen 2 Elsa Travel Doll - Features Shimmery Ice Crystal Winged Cape Boots and Hairstyle - Ages 3+, 14 in        ",5.0 out of 5 stars,/product-reviews/B07KWXVMJB/,8,prime,7
82,toys,/Pokemon-290-80647-Pok%C3%A9mon-Evolutions-Bundle/dp/B07SFF3YQW/,            Pok?©mon XY Evolutions Bundle        ,3.5 out of 5 stars,/product-reviews/B07SFF3YQW/,3,prime,6
83,toys,/Max-Fun-Unfinished-Centerpieces-Decorations/dp/B07XLFSXMG/,            Max Fun 120PCS DIY Wooden Christmas Ornaments Unfinished Predrilled Wood Circles for Crafts Centerpieces Holiday Hanging Decorations        ,4.8 out of 5 stars,/product-reviews/B07XLFSXMG/,16,prime,7
84,toys,/Force1-Scoot-Hand-Drones-Kids/dp/B07W9FG474/,"            Force1 Scoot Duo Hand Drones for Kids - Kids Drone, Flying Ball Drone, Toys for Boys and Girls (2pk)        ",4.1 out of 5 stars,/product-reviews/B07W9FG474/,"1,068",prime,6
85,toys,/Frozen-2-Anna-Travel-Doll/dp/B07KW66DQZ/,"            Disney Frozen 2 Anna Travel Doll - Features Violet Travel Cape Boots & Hairstyle - Ages 3+, 14 In        ",5.0 out of 5 stars,/product-reviews/B07KW66DQZ/,4,prime,7
86,toys,/Pikmi-Pops-Pajama-Llamas-Giant/dp/B07NSQDLQW/,            Pikmi Pops Giant Pajama Llama - Gemmi Jamma - Scented Stuffed Animal Plush Toy in Popcorn Box        ,3.7 out of 5 stars,/product-reviews/B07NSQDLQW/,26,prime,6
87,toys,/Toyk-Boy-Toys-Training-Football/dp/B07X5NN5GN/,            Toyk Boy Toys - LED Hover Soccer Ball - Air Power Training Ball Playing Football Game - Soccer Toys 3 4 5 6 7 8-12 Year Old Kids Toys Best Gift        ,5.0 out of 5 stars,/product-reviews/B07X5NN5GN/,143,prime,6
88,toys,/5-Surprise-Brands-Collectible-Capsule-Zuru/dp/B07Y7HKZT6/,            5-Surprise Mini Brands Collectible Capsule Ball by Zuru - 4 Ball Bundle        ,4.1 out of 5 stars,/product-reviews/B07Y7HKZT6/,4,no prime,1
89,toys,/Star-Wars-Mandalorian-Collectible-Action/dp/B07T85WMWL/,"            Star Wars The Black Series The Mandalorian Toy 6"" Scale Collectible Action Figure, Toys for Kids Ages 4 & Up        ",4.2 out of 5 stars,/product-reviews/B07T85WMWL/,28,no prime,7
90,toys,/Really-R-D-Robots-Exclusive/dp/B07NSXCJYL/,"            Really Rad Robots - Mibro Gold - Plays, Talks, and Pranks (Amazon Exclusive)        ",4.0 out of 5 stars,/product-reviews/B07NSXCJYL/,22,prime,6
91,toys,/Disney-Frozen-Frz-Arendelle-Castle/dp/B07M7KW1LS/,"            Disney Frozen Ultimate Arendelle Castle Playset Inspired by The Frozen 2 Movie, 5'. Tall with Lights, Moving Balcony, & 7 Rooms with Accessories        ",3.5 out of 5 stars,/product-reviews/B07M7KW1LS/,11,prime,6
92,toys,/LEGO-Star-Wars-Resistance-Starfighter/dp/B07Q2WLMJ2/,"            LEGO Star Wars: The Rise of Skywalker Resistance Y-Wing Starfighter 75249 New Advanced Collectible Starship Model Building Kit, New 2019 (578 Pieces)        ",4.7 out of 5 stars,/product-reviews/B07Q2WLMJ2/,26,prime,6
93,toys,/Surprise-Fashion-Confetti-Balloon-Unboxing/dp/B07XSR42Y7/,            NA NA NA! Surprise 2-in-1 Fashion Doll & Plush Pom with Confetti Balloon Unboxing        ,not found,not found,not found,prime,6
94,toys,/Funko-Pop-Funkoverse-Strategy-Potter/dp/B07RK4L39L/,            Funko Pop! - Funkoverse Strategy Game: Harry Potter #100 - Base Set        ,4.6 out of 5 stars,/product-reviews/B07RK4L39L/,22,no prime,6
95,toys,/LEGO-Star-Wars-Building-1771Piece/dp/B07Q2N1SJV/,"            LEGO Star Wars: Attack of The Clones Yoda 75255 Yoda Building Model and Collectible Minifigure with Lightsaber, New 2019 (1,771 Pieces)        ",4.7 out of 5 stars,/product-reviews/B07Q2N1SJV/,30,prime,6
96,toys,/LEGO-Fighter-Attack-Building-Pieces/dp/B07GZ4QP4K/,"            LEGO Star Wars TIE Fighter Attack 75237 4+ Building Kit, New 2019 (77 Pieces)        ",4.7 out of 5 stars,/product-reviews/B07GZ4QP4K/,62,prime,7
97,toys,/WowWee-Pinkfong-Shark-Melody-Sorter/dp/B07NJPKDM3/,            WowWee Pinkfong Baby Shark Melody Shape Sorter - Preschool Toy        ,4.7 out of 5 stars,/product-reviews/B07NJPKDM3/,15,prime,6
98,toys,/Funko-Pop-TV-Crocodile-Hunter/dp/B07RPB576B/,            Pop! TV: Crocodile Hunter - Steve Irwin (Styles May Vary)        ,3.9 out of 5 stars,/product-reviews/B07RPB576B/,40,prime,2
99,toys,/Disney-Frozen-Frz-Romance-Pack/dp/B07MC8TCFP/,"            Disney Frozen Anna & Kristoff Fashion Dolls 2 Pack, Outfits Featured In The Frozen 2 Movie        ",5.0 out of 5 stars,/product-reviews/B07MC8TCFP/,1,prime,3
100,toys,/Boombox-Microphone-Flashing-Working-Connects/dp/B07V2LW1MV/,"            Frozen 2 Sing Along Boombox with Microphone, Built in Music, Flashing Lights, Real Working Mic for Kids Karaoke Machine, Connects Mp3 Player Aux in Audio Device        ",4.1 out of 5 stars,/product-reviews/B07V2LW1MV/,10,no prime,7
1,petsupplies,/Fresh-Step-Febreze-Freshness-Clumping/dp/B06XKLG362/,"            Fresh Step Odor Shield Scented Litter with The Power of Febreze, Clumping Cat Litter, 14 lb        ",4.4 out of 5 stars,/product-reviews/B06XKLG362/,730,prime,7
2,petsupplies,/SHARLOVY-Puppies-Teething-Natural-Durable/dp/B07Z4GBGVV/,"            SHARLOVY Dog Chew Toys for Puppies Teething, 14 Pack Natural Cotton Dog Rope Toys with Ball Knot Tug of War Dog Toy        ",4.2 out of 5 stars,/product-reviews/B07Z4GBGVV/,247,prime,6
3,petsupplies,/Trader-Joes-Advent-Calendar-Cats/dp/B0812Y81ML/,            Trader Joe's Advent Calendar for Cats - Salmon and Dried Seaweed Recipe Cat Treats        ,4.5 out of 5 stars,/product-reviews/B0812Y81ML/,5,prime,1
4,petsupplies,/GOODGROWLIES-Dewormer-Dogs-Cats-Eliminates/dp/B07XWLH5V4/,"            GOODGROWLIES Dew0rmer for Cats & Dogs - Made in USA Broad Spectrum Worm Treatment - Eliminates & Prevents Tapeworms, Roundworms, Hookworms, Whipworms        ",4.8 out of 5 stars,/product-reviews/B07XWLH5V4/,279,prime,7
